Country,Last Year,Last Value
Algeria,2022,191912889421
Aruba,2021,3126019385
Afghanistan,2021,14583135237
Angola,2022,106713618735
Albania,2022,18882095518
Andorra,2022,3352032737
United Arab Emirates,2022,507534921715
Argentina,2022,632770284409
Armenia,2022,19502783988
American Samoa,2021,709000000
Antigua and Barbuda,2022,1757603704
Australia,2022,1675418665067
Austria,2022,471400066091
Azerbaijan,2022,78721058824
Burundi,2022,3073414678
Belgium,2022,578604103123
Benin,2022,17401746309
Burkina Faso,2022,18884619613
Bangladesh,2022,460201000095
Bulgaria,2022,89040398406
Bahrain,2022,44390820479
"Bahamas, The",2022,12897400000
Bosnia and Herzegovina,2022,24527507288
Belarus,2022,72793457588
Belize,2022,2824081836
Bermuda,2022,7550500000
Bolivia,2022,43068885673
Brazil,2022,1920095560995
Barbados,2022,5637914515
Brunei Darussalam,2022,16681531646
Bhutan,2021,2539551327
Botswana,2022,20352322157
Central African Republic,2022,2382618615
Canada,2022,2139840023674
Switzerland,2022,807706035352
Channel Islands,2021,11735662220
Chile,2022,301025249438
China,2022,17963170521080
Cote d'Ivoire,2022,70018715017
Cameroon,2022,44341646509
"Congo, Dem. Rep.",2022,58065953573
"Congo, Rep.",2022,14615532210
Colombia,2022,343939445259
Comoros,2022,1242519407
Cabo Verde,2022,2314816792
Costa Rica,2022,68380838316
Cuba,2020,107352000000
Curacao,2021,2699612458
Cayman Islands,2021,6028373541
Cyprus,2022,28439052741
Czechia,2022,290923534701
Germany,2022,4072191736090
Djibouti,2022,3515109075
Dominica,2022,612048148
Denmark,2022,395403906582
Dominican Republic,2022,113641857434
Ecuador,2022,115049476000
"Egypt, Arab Rep.",2022,476747720365
Eritrea,2011,2065001626
Spain,2022,1397509272054
Estonia,2022,38100812959
Ethiopia,2022,126783472501
Finland,2022,280825957768
Fiji,2022,4943248200
France,2022,2782905325625
Faroe Islands,2021,3649878680
"Micronesia, Fed. Sts.",2022,427094119
Gabon,2022,21071739228
United Kingdom,2022,3070667732359
Georgia,2022,24605375420
Ghana,2022,72838798788
Guinea,2022,21227749389
"Gambia, The",2022,2273060863
Guinea-Bissau,2022,1633559092
Equatorial Guinea,2022,11813908448
Greece,2022,219065872466
Grenada,2022,1256413185
Greenland,2021,3235816195
Guatemala,2022,95003333381
Guam,2021,6123000000
Guyana,2022,15357537068
"Hong Kong SAR, China",2022,359838598806
Honduras,2022,31717700115
Croatia,2022,70964606465
Haiti,2022,20253551885
Hungary,2022,178788572068
Indonesia,2022,1319100220389
Isle of Man,2020,6684229269
India,2022,3385089881935
Ireland,2022,529244870223
"Iran, Islamic Rep.",2022,388544468140
Iraq,2022,264182173793
Iceland,2022,27841648044
Israel,2022,522033446212
Italy,2022,2010431598465
Jamaica,2022,17097760745
Jordan,2022,47451499859
Japan,2022,4231141201863
Kazakhstan,2022,220623001967
Kenya,2022,113420008179
Kyrgyz Republic,2022,10930644915
Cambodia,2022,29956769529
Kiribati,2022,223352943
St. Kitts and Nevis,2022,961563259
"Korea, Rep.",2022,1665245538595
Kuwait,2022,184558274289
Lao PDR,2022,15724383783
Lebanon,2021,23131941557
Liberia,2022,4001047150
Libya,2022,45752336036
St. Lucia,2022,2065027556
Liechtenstein,2021,7186428783
Sri Lanka,2022,74403578363
Lesotho,2022,2553459763
Lithuania,2022,70334299008
Luxembourg,2022,82274812251
Latvia,2022,41153912663
"Macao SAR, China",2022,21979475561
St. Martin (French part),2014,772921756
Morocco,2022,134181587770
Monaco,2021,8596156574
Moldova,2022,14420947884
Madagascar,2022,14954967604
Maldives,2022,6189865408
Mexico,2022,1414187193992
Marshall Islands,2022,279667900
North Macedonia,2022,13563132057
Mali,2022,18827176532
Malta,2022,17765270015
Myanmar,2022,59364362541
Montenegro,2022,6095978868
Mongolia,2022,16810883361
Northern Mariana Islands,2020,858000000
Mozambique,2022,17851491428
Mauritania,2022,10375460680
Mauritius,2022,12898307089
Malawi,2022,13164667627
Malaysia,2022,406305924656
North America,2022,27610090523674
Namibia,2022,12607436976
New Caledonia,2021,10071349707
Niger,2022,13969605583
Nigeria,2022,477386120636
Nicaragua,2022,15671583878
Netherlands,2022,991114635529
Norway,2022,579267365866
Nepal,2022,40828247302
Nauru,2022,150922211
New Zealand,2022,247234053739
Oman,2022,114667360208
Pakistan,2022,376532751807
Panama,2022,76522511781
Peru,2022,242631549613
Philippines,2022,404284327312
Palau,2021,217800000
Papua New Guinea,2022,30633444295
Poland,2022,688176605955
Puerto Rico,2022,113434800000
Portugal,2022,251945377529
Paraguay,2022,41722295362
West Bank and Gaza,2022,19111900000
Pacific island small states,2022,10226024920
French Polynesia,2021,6080359305
Qatar,2022,237295575171
Romania,2022,301261582924
Russian Federation,2022,2240422438363
Rwanda,2022,13312796765
South Asia,2022,4361631457999
Saudi Arabia,2022,1108148978218
Sudan,2022,51662241775
Senegal,2022,27684430244
Singapore,2022,466788539652
Solomon Islands,2022,1595710784
Sierra Leone,2022,3970343852
El Salvador,2022,32488720000
San Marino,2021,1855382833
Somalia,2022,8126105600
Serbia,2022,63501748652
South Sudan,2015,11997800760
Sao Tome and Principe,2022,546680341
Suriname,2022,3620655116
Slovak Republic,2022,115468803972
Slovenia,2022,62117768015
Sweden,2022,585939170124
Eswatini,2022,4854167638
Sint Maarten (Dutch part),2022,1571564246
Seychelles,2022,1588406479
Syrian Arab Republic,2020,11159274040
Turks and Caicos Islands,2022,1138808881
Chad,2022,12704149842
Togo,2022,8126439481
Thailand,2022,495340592811
Tajikistan,2022,10492123388
Turkmenistan,2020,45610571429
Timor-Leste,2022,3163324631
Tonga,2021,469228124
Trinidad and Tobago,2022,27899082337
Tunisia,2022,46664948952
Turkiye,2022,905987824096
Tuvalu,2022,60349391
Tanzania,2022,75709289056
Uganda,2022,45559202049
Ukraine,2022,160502739236
Uruguay,2022,71177146197
United States,2022,25462700000000
Uzbekistan,2022,80391853885
St. Vincent and the Grenadines,2022,948558503
"Venezuela, RB",2014,482359318768
Virgin Islands (U.S.),2020,4204000000
Vietnam,2022,408802379068
Vanuatu,2022,983582864
Samoa,2022,832421565
Kosovo,2022,9429156202
"Yemen, Rep.",2018,21606161066
South Africa,2022,405869718462
Zambia,2022,29784454056
Zimbabwe,2022,20678055598
World,2022,100562011134034

Africa Eastern and Southern,2022,1169483734191
Africa Western and Central,2022,877863284874
Arab World,2022,3557557256271
Central Europe and the Baltics,2022,1946330897134
Caribbean small states,2022,92935645973
East Asia & Pacific (excluding high income),2022,21189324409148
Early-demographic dividend,2022,14029514129087
East Asia & Pacific,2022,30655246030298
Europe & Central Asia (excluding high income),2022,4124699980830
Europe & Central Asia,2022,25192037594849
Euro area,2022,14040893546587
European Union,2022,16641391923811
Fragile and conflict affected situations,2022,1891789706612
High income,2022,61535768880817
Heavily indebted poor countries (HIPC),2022,970109981804
IBRD only,2022,37635709395800
IDA & IBRD total,2022,40448776490635
IDA total,2022,2813266144562
IDA blend,2022,1173302850133
IDA only,2022,1639926057562
Latin America & Caribbean (excluding high income),2022,5300574665731
Latin America & Caribbean,2022,6246621760429
Middle East & North Africa,2022,4414423065617
OECD members,2022,59596537275134
Other small states,2022,529870616390
Latin America & the Caribbean (IDA & IBRD countries),2022,5945540330771
Middle East & North Africa (IDA & IBRD countries),2022,1657891406470
South Asia (IDA & IBRD),2022,4361631457999
Sub-Saharan Africa (IDA & IBRD countries),2022,2047347019066
Sub-Saharan Africa (excluding high income),2022,2045758612586
Sub-Saharan Africa,2022,2047347019066
Small states,2022,633046575611
East Asia & Pacific (IDA & IBRD countries),2022,21162883158375
Europe & Central Asia (IDA & IBRD countries),2022,5185102776174
Least developed countries: UN classification,2022,1416759808404
Low income,2022,521634375509
Lower middle income,2022,8109649831659
Low & middle income,2022,38687654409588
Late-demographic dividend,2022,28078790059155
Middle income,2022,38164267887583
Middle East & North Africa (excluding high income),2022,1676993028171
Upper middle income,2022,30055338614864
Pre-demographic dividend,2022,1612324668165
Post-demographic dividend,2022,56013534785820